,state,date,lat,lon,state_abbrev,month,chip_enrollment,chip_change
0,Alaska,2017-06-01,61.385,-152.2683,AK,2017-06,12454.0,0.0
1,Alaska,2017-07-01,61.385,-152.2683,AK,2017-07,12605.0,0.012124618596434988
2,Alaska,2017-08-01,61.385,-152.2683,AK,2017-08,12763.0,0.024811305604625078
3,Alaska,2017-09-01,61.385,-152.2683,AK,2017-09,12602.0,0.011883732134253977
4,Alaska,2017-10-01,61.385,-152.2683,AK,2017-10,12963.0,0.04087040308334666
5,Alaska,2017-11-01,61.385,-152.2683,AK,2017-11,12802.0,0.027942829612975784
6,Alaska,2017-12-01,61.385,-152.2683,AK,2017-12,12919.0,0.0373374016380279
7,Alaska,2018-01-01,61.385,-152.2683,AK,2018-01,13141.0,0.05516299983940898
8,Alaska,2018-02-01,61.385,-152.2683,AK,2018-02,13163.0,0.05692950056206847
9,Alaska,2018-03-01,61.385,-152.2683,AK,2018-03,13280.0,0.06632407258712059
10,Alaska,2018-04-01,61.385,-152.2683,AK,2018-04,13293.0,0.06736791392323749
11,Alaska,2018-05-01,61.385,-152.2683,AK,2018-05,13403.0,0.0762004175365345
12,Alaska,2018-06-01,61.385,-152.2683,AK,2018-06,13729.0,0.1023767464268508
13,Alaska,2018-07-01,61.385,-152.2683,AK,2018-07,13803.0,0.1083186124939779
14,Alaska,2018-08-01,61.385,-152.2683,AK,2018-08,13757.0,0.10462502007387187
15,Alaska,2018-09-01,61.385,-152.2683,AK,2018-09,13915.0,0.11731170708206196
16,Alaska,2018-10-01,61.385,-152.2683,AK,2018-10,14385.0,0.1550505861570579
17,Alaska,2018-11-01,61.385,-152.2683,AK,2018-11,14835.0,0.19118355548418187
18,Alaska,2018-12-01,61.385,-152.2683,AK,2018-12,14835.0,0.19118355548418187
19,Alaska,2019-01-01,61.385,-152.2683,AK,2019-01,15137.0,0.21543279267705162
20,Alaska,2019-02-01,61.385,-152.2683,AK,2019-02,15378.0,0.23478400513891118
21,Alaska,2019-03-01,61.385,-152.2683,AK,2019-03,15396.0,0.23622932391199614
22,Alaska,2019-04-01,61.385,-152.2683,AK,2019-04,15448.0,0.24040468925646374
23,Alaska,2019-05-01,61.385,-152.2683,AK,2019-05,15565.0,0.24979926128151608
24,Alabama,2017-06-01,32.799,-86.8073,AL,2017-06,153485.0,0.0
25,Alabama,2017-07-01,32.799,-86.8073,AL,2017-07,154070.0,0.003811447372707333
26,Alabama,2017-08-01,32.799,-86.8073,AL,2017-08,155549.0,0.01344756816627024
27,Alabama,2017-09-01,32.799,-86.8073,AL,2017-09,158144.0,0.03035475779392116
28,Alabama,2017-10-01,32.799,-86.8073,AL,2017-10,159080.0,0.03645307359025307
29,Alabama,2017-11-01,32.799,-86.8073,AL,2017-11,172664.0,0.12495683617291586
30,Alabama,2017-12-01,32.799,-86.8073,AL,2017-12,169741.0,0.10591262989868722
31,Alabama,2018-01-01,32.799,-86.8073,AL,2018-01,172500.0,0.123888327849627
32,Alabama,2018-02-01,32.799,-86.8073,AL,2018-02,175921.0,0.14617715086164762
33,Alabama,2018-03-01,32.799,-86.8073,AL,2018-03,176135.0,0.14757142391764666
34,Alabama,2018-04-01,32.799,-86.8073,AL,2018-04,175462.0,0.14318663061536951
35,Alabama,2018-05-01,32.799,-86.8073,AL,2018-05,171306.0,0.11610906603251125
36,Alabama,2018-06-01,32.799,-86.8073,AL,2018-06,170836.0,0.11304687754503706
37,Alabama,2018-07-01,32.799,-86.8073,AL,2018-07,169023.0,0.10123464833697104
38,Alabama,2018-08-01,32.799,-86.8073,AL,2018-08,171013.0,0.11420008469883047
39,Alabama,2018-09-01,32.799,-86.8073,AL,2018-09,171556.0,0.11773788969606147
40,Alabama,2018-10-01,32.799,-86.8073,AL,2018-10,173001.0,0.12715249047138166
41,Alabama,2018-11-01,32.799,-86.8073,AL,2018-11,167896.0,0.09389191126168672
42,Alabama,2018-12-01,32.799,-86.8073,AL,2018-12,172669.0,0.12498941264618701
43,Alabama,2019-01-01,32.799,-86.8073,AL,2019-01,173221.0,0.12858585529530564
44,Alabama,2019-02-01,32.799,-86.8073,AL,2019-02,169528.0,0.1045248721373424
45,Alabama,2019-03-01,32.799,-86.8073,AL,2019-03,173379.0,0.12961527185066934
46,Alabama,2019-04-01,32.799,-86.8073,AL,2019-04,172620.0,0.12467016320813107
47,Alabama,2019-05-01,32.799,-86.8073,AL,2019-05,170608.0,0.11156139036387924
48,Arkansas,2017-06-01,34.9513,-92.3809,AR,2017-06,79706.0,0.0
49,Arkansas,2017-07-01,34.9513,-92.3809,AR,2017-07,80213.0,0.006360876220108835
50,Arkansas,2017-08-01,34.9513,-92.3809,AR,2017-08,80464.0,0.00950994906280589
51,Arkansas,2017-09-01,34.9513,-92.3809,AR,2017-09,80933.0,0.01539407321908004
52,Arkansas,2017-10-01,34.9513,-92.3809,AR,2017-10,81498.0,0.022482623641884025
53,Arkansas,2017-11-01,34.9513,-92.3809,AR,2017-11,82000.0,0.02878076932727769
54,Arkansas,2017-12-01,34.9513,-92.3809,AR,2017-12,82209.0,0.03140290567836801
55,Arkansas,2018-01-01,34.9513,-92.3809,AR,2018-01,81849.0,0.026886307178882296
56,Arkansas,2018-02-01,34.9513,-92.3809,AR,2018-02,82251.0,0.03192984216997474
57,Arkansas,2018-03-01,34.9513,-92.3809,AR,2018-03,82902.0,0.040097357789877774
58,Arkansas,2018-04-01,34.9513,-92.3809,AR,2018-04,83001.0,0.04133942237723631
59,Arkansas,2018-05-01,34.9513,-92.3809,AR,2018-05,82333.0,0.03295862293930196
60,Arkansas,2018-06-01,34.9513,-92.3809,AR,2018-06,83390.0,0.04621985797806949
61,Arkansas,2018-07-01,34.9513,-92.3809,AR,2018-07,83111.0,0.042719494140968095
62,Arkansas,2018-08-01,34.9513,-92.3809,AR,2018-08,83934.0,0.053044940155069886
63,Arkansas,2018-09-01,34.9513,-92.3809,AR,2018-09,83731.0,0.05049808044563764
64,Arkansas,2018-10-01,34.9513,-92.3809,AR,2018-10,83731.0,0.05049808044563764
65,Arkansas,2018-11-01,34.9513,-92.3809,AR,2018-11,86737.0,0.08821167791634266
66,Arkansas,2018-12-01,34.9513,-92.3809,AR,2018-12,85481.0,0.07245376759591493
67,Arkansas,2019-01-01,34.9513,-92.3809,AR,2019-01,88048.0,0.10465962411863594
68,Arkansas,2019-02-01,34.9513,-92.3809,AR,2019-02,89274.0,0.12004115123077308
69,Arkansas,2019-03-01,34.9513,-92.3809,AR,2019-03,89558.0,0.12360424560258942
70,Arkansas,2019-04-01,34.9513,-92.3809,AR,2019-04,89668.0,0.12498431736632121
71,Arkansas,2019-05-01,34.9513,-92.3809,AR,2019-05,88902.0,0.11537399944797122
72,Arizona,2017-06-01,14.2417,-170.7197,AZ,2017-06,95206.0,0.0
73,Arizona,2017-07-01,14.2417,-170.7197,AZ,2017-07,95962.0,0.007940676007814673
74,Arizona,2017-08-01,14.2417,-170.7197,AZ,2017-08,96089.0,0.009274625548809867
75,Arizona,2017-09-01,14.2417,-170.7197,AZ,2017-09,96125.0,0.009652752977753476
76,Arizona,2017-10-01,14.2417,-170.7197,AZ,2017-10,97855.0,0.027823876646429824
77,Arizona,2017-11-01,14.2417,-170.7197,AZ,2017-11,97389.0,0.02292922714954937
78,Arizona,2017-12-01,14.2417,-170.7197,AZ,2017-12,96759.0,0.016311997143037216
79,Arizona,2018-01-01,14.2417,-170.7197,AZ,2018-01,93414.0,-0.01882234312963471
80,Arizona,2018-02-01,14.2417,-170.7197,AZ,2018-02,93927.0,-0.013434027267189008
81,Arizona,2018-03-01,14.2417,-170.7197,AZ,2018-03,96855.0,0.017320336953553284
82,Arizona,2018-04-01,14.2417,-170.7197,AZ,2018-04,99702.0,0.047223914459172844
83,Arizona,2018-05-01,14.2417,-170.7197,AZ,2018-05,98492.0,0.03451463143079225
84,Arizona,2018-06-01,14.2417,-170.7197,AZ,2018-06,98761.0,0.03734008360817587
85,Arizona,2018-07-01,14.2417,-170.7197,AZ,2018-07,99749.0,0.04771758082473787
86,Arizona,2018-08-01,14.2417,-170.7197,AZ,2018-08,100159.0,0.05202403209881723
87,Arizona,2018-09-01,14.2417,-170.7197,AZ,2018-09,104919.0,0.10202088103690943
88,Arizona,2018-10-01,14.2417,-170.7197,AZ,2018-10,102384.0,0.07539440791546759
89,Arizona,2018-11-01,14.2417,-170.7197,AZ,2018-11,102220.0,0.07367182740583567
90,Arizona,2018-12-01,14.2417,-170.7197,AZ,2018-12,102983.0,0.08168602819150061
91,Arizona,2019-01-01,14.2417,-170.7197,AZ,2019-01,103840.0,0.09068756170829562
92,Arizona,2019-02-01,14.2417,-170.7197,AZ,2019-02,104571.0,0.09836564922378832
93,Arizona,2019-03-01,14.2417,-170.7197,AZ,2019-03,104382.0,0.09638048022183465
94,Arizona,2019-04-01,14.2417,-170.7197,AZ,2019-04,103141.0,0.08334558746297493
95,Arizona,2019-05-01,14.2417,-170.7197,AZ,2019-05,101573.0,0.06687603722454472
96,California,2017-06-01,33.7712,-111.3877,CA,2017-06,1288447.0,0.0
97,California,2017-07-01,33.7712,-111.3877,CA,2017-07,1278622.0,-0.007625459176823002
98,California,2017-08-01,33.7712,-111.3877,CA,2017-08,1300715.0,0.009521540272902085
99,California,2017-09-01,33.7712,-111.3877,CA,2017-09,1295211.0,0.00524973087756031
100,California,2017-10-01,33.7712,-111.3877,CA,2017-10,1296237.0,0.006046038370224105
101,California,2017-11-01,33.7712,-111.3877,CA,2017-11,1291611.0,0.002455669499793256
102,California,2017-12-01,33.7712,-111.3877,CA,2017-12,1295707.0,0.005634690445163848
103,California,2018-01-01,33.7712,-111.3877,CA,2018-01,1300582.0,0.009418315227556873
104,California,2018-02-01,33.7712,-111.3877,CA,2018-02,1317347.0,0.022430103838186666
105,California,2018-03-01,33.7712,-111.3877,CA,2018-03,1317035.0,0.02218795185211353
106,California,2018-04-01,33.7712,-111.3877,CA,2018-04,1316781.0,0.021990815299348654
107,California,2018-05-01,33.7712,-111.3877,CA,2018-05,1312237.0,0.01846408893807827
108,California,2018-06-01,33.7712,-111.3877,CA,2018-06,1308792.0,0.015790327425187156
109,California,2018-07-01,33.7712,-111.3877,CA,2018-07,1310504.0,0.017119058835947554
110,California,2018-08-01,33.7712,-111.3877,CA,2018-08,1308428.0,0.015507816774768424
111,California,2018-09-01,33.7712,-111.3877,CA,2018-09,1295682.0,0.0056152872411514565
112,California,2018-10-01,33.7712,-111.3877,CA,2018-10,1305036.0,0.012875190054383312
