state_name,Total state ethnicity,White Avg,Black Avg,Asian Avg,Latino Avg,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
Alabama,4779736.0,68.526671765972,26.17950029039261,1.1212962389554568,1.4025670037006228,4799277.0,38.1,43253.0,23680.0,870631.0,18.140878303127746
Alaska,710231.0,66.67915086781625,3.2754132106314704,5.3693798214946975,6.657833859687905,720316.0,33.6,70760.0,32651.0,69514.0,9.650486730823694
Arizona,6392017.0,73.01484022961765,4.052054304611517,2.7643074165791486,3.176806319507598,6479703.0,36.3,49774.0,25358.0,1131901.0,17.46840866008828
Arkansas,2915918.0,76.99904455475084,15.428931814955016,1.2381006598951,1.8605804415624856,2933369.0,37.5,40768.0,22170.0,547328.0,18.658682218295752
California,37253956.0,57.588337732508194,6.171349963477705,13.048297474770196,4.492143062605217,37659181.0,35.4,61094.0,29527.0,5885417.0,15.628106729139967
Louisiana,4533372.0,62.56252520199092,32.03787379460587,1.5470162166263877,1.4817888318011403,4567968.0,36.0,44874.0,24442.0,846780.0,18.537345270369673
Kentucky,4339367.0,87.79015464697962,7.778092979920804,1.1275838157961748,1.631159567743406,4361333.0,38.2,43036.0,23462.0,796202.0,18.255932303266
Colorado,5029196.0,81.3092589749932,4.011317117089888,2.7644180103539413,3.1610022755128253,5119329.0,36.1,58433.0,31109.0,660874.0,12.909387148198526
Connecticut,3574097.0,77.56952315507945,10.136714252579043,3.7929860325559153,2.3922406135032146,3583561.0,40.2,69461.0,37892.0,354348.0,9.888153152688067
Delaware,897934.0,68.89337078226241,21.36170364414311,3.179409622533505,2.4597576213841994,908446.0,38.9,59878.0,29819.0,103633.0,11.40772263843971
District of Columbia,601723.0,38.468032632955705,50.70854861788564,3.4992845545209335,2.538211103780311,619371.0,33.8,65830.0,45290.0,109200.0,17.630789946574833
Florida,18801310.0,75.04350494726165,15.955600966102894,2.419092073903361,2.343538827879547,19091156.0,41.0,46956.0,26236.0,3052807.0,15.990686996638653
Georgia,9687653.0,59.74037261656667,30.455622223463212,3.246059700940981,1.9774552205781937,9810417.0,35.6,49179.0,25182.0,1736680.0,17.702407553114202
Hawaii,1360301.0,24.74444994159381,1.5749455451403769,38.60013335283881,15.216411661830726,1376298.0,38.3,67402.0,29305.0,149531.0,10.864725517293492
Idaho,1567582.0,89.08541945493124,0.6258045831095279,1.21645948983849,2.3330836919535947,1583364.0,34.9,46767.0,22568.0,240298.0,15.176421846145296
Illinois,12830632.0,71.53098148243984,14.546547668111751,4.574474585507557,2.125912425825945,12848554.0,36.8,56797.0,29666.0,1772333.0,13.794026938751239
Indiana,6483802.0,84.33178557889337,9.121145278649779,1.5804615871983754,1.8561177531331157,6514861.0,37.1,48248.0,24635.0,969881.0,14.887209412449474
Iowa,3046355.0,91.30784166651621,2.9263825128719403,1.7428697574642482,1.6431111935411338,3062553.0,38.1,51843.0,27027.0,367414.0,11.996984215456846
Kansas,2853118.0,83.80459553372836,5.883528126071197,2.3750156845948887,2.8078053554041578,2868107.0,36.0,51332.0,26929.0,382820.0,13.34747971397162
Maine,1328361.0,95.22795384688351,1.1824345942104597,1.0216349320704237,1.4855901370184759,1328320.0,43.2,48453.0,26824.0,175624.0,13.221512888460612
Maryland,5773552.0,58.18400873500404,29.449773726814968,5.52264879575,2.5950576005897243,5834299.0,38.0,73538.0,36354.0,558329.0,9.569770078633267
Massachusetts,6547629.0,80.4143912246708,6.634432097481394,5.3419031530344805,2.430177397039448,6605058.0,39.2,66866.0,35763.0,725351.0,10.981750652303125
Michigan,9883640.0,78.9498605776819,14.168484485472966,2.4100331456831694,2.1588706185170645,9886095.0,39.1,48411.0,25681.0,1625982.0,16.44716139183368
Minnesota,5303925.0,85.29649269173302,5.173753399605009,4.039159678917029,2.17320192121872,5347740.0,37.6,59836.0,30913.0,598391.0,11.189605328606103
Mississippi,2967297.0,59.134087352900636,37.0163485488645,0.8675235407847613,1.0733674451866464,2976872.0,36.2,39031.0,20618.0,653321.0,21.946560013329425
Missouri,5988927.0,82.79897216980605,11.577883650944484,1.6377391142019262,1.9445219485894556,6007182.0,38.0,47380.0,25649.0,900929.0,14.997531288381143
Montana,989415.0,89.44285259471506,0.4070081816022599,0.6319896100220838,2.3925248758104543,998554.0,39.9,46230.0,25373.0,148528.0,14.874308249729106
Nebraska,1826341.0,86.11962388184902,4.53830911094916,1.7681802029303402,2.018243033475129,1841625.0,36.3,51672.0,26899.0,228789.0,12.423213194868662
Nevada,2700551.0,66.16012806275461,8.095607155724888,7.2368935080285475,4.216732066900422,2730066.0,36.6,52800.0,26589.0,403314.0,14.773049442760724
New Hampshire,1316470.0,93.89123945095595,1.1420693217467923,2.157815977576397,1.5227084551869772,1319171.0,41.5,64916.0,33134.0,110859.0,8.403686860914924
New Jersey,8791894.0,68.5773509098267,13.703827639414214,8.254489874422962,2.5450830048678927,8832406.0,39.1,71629.0,36027.0,900583.0,10.196349669614374
New Mexico,2059179.0,68.37074387413624,2.06635751432974,1.3698663399345081,3.514118976543564,2069706.0,36.7,44927.0,23763.0,413801.0,19.99322609104868
New York,19378102.0,65.74933912516303,15.86223459862065,7.3291181974374995,2.8016417706956025,19487053.0,38.1,58003.0,32382.0,2903982.0,14.902109621193109
North Carolina,9535483.0,68.47005023237942,21.484260419739613,2.191414949824776,1.9909216974116568,9651380.0,37.6,46334.0,25284.0,1643389.0,17.027502802708007
North Dakota,672591.0,90.01741028351555,1.183482978511458,1.027221595293425,1.6727847978935193,689781.0,36.4,53741.0,29732.0,79433.0,11.515683963460866
Ohio,11536504.0,82.68914915645156,12.201972105240893,1.6663020270265585,1.9049705179316017,11549590.0,39.0,48308.0,26046.0,1773853.0,15.358579828374861
