state_name,date,lat,lon,state_abbrev,month_y,chip_x,chip_change
Alaska,2017-06-01,61.385,-152.2683,AK,2017-06,12454.0,0.00%
Alaska,2017-07-01,61.385,-152.2683,AK,2017-06,12605.0,1.21%
Alaska,2017-08-01,61.385,-152.2683,AK,2017-06,12763.0,2.48%
Alaska,2017-09-01,61.385,-152.2683,AK,2017-06,12602.0,1.19%
Alaska,2017-10-01,61.385,-152.2683,AK,2017-06,12963.0,4.09%
Alaska,2017-11-01,61.385,-152.2683,AK,2017-06,12802.0,2.79%
Alaska,2017-12-01,61.385,-152.2683,AK,2017-06,12919.0,3.73%
Alaska,2018-01-01,61.385,-152.2683,AK,2017-06,13141.0,5.52%
Alaska,2018-02-01,61.385,-152.2683,AK,2017-06,13163.0,5.69%
Alaska,2018-03-01,61.385,-152.2683,AK,2017-06,13280.0,6.63%
Alaska,2018-04-01,61.385,-152.2683,AK,2017-06,13293.0,6.74%
Alaska,2018-05-01,61.385,-152.2683,AK,2017-06,13403.0,7.62%
Alaska,2018-06-01,61.385,-152.2683,AK,2017-06,13729.0,10.24%
Alaska,2018-07-01,61.385,-152.2683,AK,2017-06,13803.0,10.83%
Alaska,2018-08-01,61.385,-152.2683,AK,2017-06,13757.0,10.46%
Alaska,2018-09-01,61.385,-152.2683,AK,2017-06,13915.0,11.73%
Alaska,2018-10-01,61.385,-152.2683,AK,2017-06,14385.0,15.51%
Alaska,2018-11-01,61.385,-152.2683,AK,2017-06,14835.0,19.12%
Alaska,2018-12-01,61.385,-152.2683,AK,2017-06,14835.0,19.12%
Alaska,2019-01-01,61.385,-152.2683,AK,2017-06,15137.0,21.54%
Alaska,2019-02-01,61.385,-152.2683,AK,2017-06,15378.0,23.48%
Alaska,2019-03-01,61.385,-152.2683,AK,2017-06,15396.0,23.62%
Alaska,2019-04-01,61.385,-152.2683,AK,2017-06,15448.0,24.04%
Alaska,2019-05-01,61.385,-152.2683,AK,2017-06,15565.0,24.98%
Alabama,2017-06-01,32.799,-86.8073,AL,2017-06,153485.0,0.00%
Alabama,2017-07-01,32.799,-86.8073,AL,2017-06,154070.0,0.38%
Alabama,2017-08-01,32.799,-86.8073,AL,2017-06,155549.0,1.34%
Alabama,2017-09-01,32.799,-86.8073,AL,2017-06,158144.0,3.04%
Alabama,2017-10-01,32.799,-86.8073,AL,2017-06,159080.0,3.65%
Alabama,2017-11-01,32.799,-86.8073,AL,2017-06,172664.0,12.50%
Alabama,2017-12-01,32.799,-86.8073,AL,2017-06,169741.0,10.59%
Alabama,2018-01-01,32.799,-86.8073,AL,2017-06,172500.0,12.39%
Alabama,2018-02-01,32.799,-86.8073,AL,2017-06,175921.0,14.62%
Alabama,2018-03-01,32.799,-86.8073,AL,2017-06,176135.0,14.76%
Alabama,2018-04-01,32.799,-86.8073,AL,2017-06,175462.0,14.32%
Alabama,2018-05-01,32.799,-86.8073,AL,2017-06,171306.0,11.61%
Alabama,2018-06-01,32.799,-86.8073,AL,2017-06,170836.0,11.30%
Alabama,2018-07-01,32.799,-86.8073,AL,2017-06,169023.0,10.12%
Alabama,2018-08-01,32.799,-86.8073,AL,2017-06,171013.0,11.42%
Alabama,2018-09-01,32.799,-86.8073,AL,2017-06,171556.0,11.77%
Alabama,2018-10-01,32.799,-86.8073,AL,2017-06,173001.0,12.72%
